id,Unnamed: 0,edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,empleados,satisfaccion_entorno,sexo,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,mayor_edad,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,horas_quincena,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,conciliacion,anos_compania,anos_en_puesto,anos_desde_ult_promocion,anos_con_manager_actual
704,515,35,No,Non-Travel,Financial,3,Universitaria,Ingeniería Administrativa,1,Alta,2.0,Media,1,Treasurer,Media,Married,1281,1,Y,No,18,Alta,Alta,80,2,1,3,,1,,0,0
724,529,38,No,Travel_Rarely,Financial,1,Master,Ingeniería Administrativa,1,Media,4.0,Muy_Alta,2,Coordinator,Muy_Alta,Single,7625,0,Y,No,13,Alta,Alta,80,0,10,4,Muy_Alta,9,,1,8
1646,1168,24,No,Travel_Frequently,Financial,2,Universitaria,Contaduría,1,Baja,3.0,Alta,1,Financial Analyst,Alta,Single,3760,1,Y,Yes,13,Alta,Alta,80,0,6,2,,6,,1,3
536,404,28,No,Travel_Rarely,Financial,17,Universitaria,Finanzas,1,Alta,3.0,Alta,2,Treasurer,Alta,Divorced,4558,1,Y,No,12,Alta,Muy_Alta,80,1,10,2,,10,,1,8
1415,1003,25,No,Travel_Rarely,Financial,1,Universitaria,Contaduría,1,Baja,3.0,Alta,1,Treasurer,Alta,Married,3229,4,Y,No,11,Alta,Media,80,1,7,2,Alta,3,,0,2
417,304,39,No,Travel_Rarely,Financial,1,Master,Finanzas,1,Alta,4.0,Muy_Alta,3,Coordinator,Muy_Alta,Divorced,9613,0,Y,No,17,Alta,Baja,80,3,19,5,Muy_Alta,18,4.0,3,7
996,713,45,No,Travel_Rarely,Financial,1,Universitaria,Finanzas,1,Muy_Alta,,Alta,1,Treasurer,Alta,Divorced,2270,3,Y,No,14,Alta,Muy_Alta,80,2,8,2,,5,,0,2
161,122,56,Yes,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,1,Media,3.0,Alta,1,Financial Analyst,Alta,Married,4963,9,Y,Yes,18,Alta,Baja,80,3,7,2,,5,,4,3
551,413,42,No,Travel_Frequently,Financial,28,,Contaduría,1,Muy_Alta,,,2,Coordinator,,Married,4523,0,Y,No,11,Alta,Muy_Alta,80,3,7,4,,6,,0,4
2014,1429,39,No,Travel_Rarely,Financial,24,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,2,Financial Analyst,Alta,Single,4108,7,Y,No,13,Alta,Baja,80,0,18,2,,7,,1,7
117,88,30,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Alta,2.0,Media,2,Coordinator,Media,Married,4152,1,Y,No,19,Alta,Baja,80,3,11,3,,11,,10,8
422,308,58,No,Non-Travel,Financial,1,Universitaria,Ingeniería Administrativa,1,Muy_Alta,,Baja,2,Coordinator,Baja,Divorced,5660,2,Y,Yes,13,Alta,Muy_Alta,80,1,12,2,Baja,5,,1,2
593,443,22,Yes,Travel_Frequently,Financial,4,Universitaria,Contaduría,1,Alta,,Media,1,Treasurer,Media,Single,3894,5,Y,No,16,Alta,Alta,80,0,4,3,,2,,1,2
911,656,32,Yes,Travel_Rarely,Financial,25,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,1,Treasurer,,Single,2795,1,Y,Yes,24,Muy_Alta,Alta,80,0,1,2,Alta,1,,0,1
1658,1179,34,No,Travel_Rarely,Financial,3,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,2,Financial Analyst,Alta,Divorced,5433,1,Y,No,12,Alta,Alta,80,1,11,2,Alta,11,,7,9
1763,1259,30,No,Travel_Rarely,Financial,16,Master,Ingeniería Administrativa,1,Alta,4.0,Muy_Alta,2,Coordinator,Muy_Alta,Married,5294,3,Y,No,16,Alta,Alta,80,1,10,3,,7,,1,7
1460,1034,45,No,Travel_Rarely,Financial,20,Universitaria,Finanzas,1,Media,1.0,Baja,3,Coordinator,Baja,Divorced,10851,2,Y,Yes,18,Alta,Media,80,1,24,2,,7,,0,7
1574,1113,32,No,Non-Travel,Financial,1,Universitaria,Contaduría,1,Muy_Alta,3.0,Alta,2,Financial Analyst,Alta,Married,4087,4,Y,No,14,Alta,Media,80,1,9,3,,6,,1,2
442,325,31,No,Travel_Frequently,Financial,7,Universitaria,Ingeniería Administrativa,1,Alta,2.0,Media,3,Accountant,Media,Married,8943,1,Y,No,24,Muy_Alta,Baja,80,1,10,2,,10,2.0,8,9
491,367,50,No,Travel_Rarely,Financial,10,Universitaria,Contaduría,1,Muy_Alta,2.0,Media,3,Coordinator,Media,Single,10496,6,Y,No,15,Alta,Muy_Alta,80,0,20,2,,4,,1,3
1154,827,28,No,Travel_Frequently,Financial,6,Universitaria,Ingeniería Administrativa,1,Alta,2.0,Media,1,Financial Analyst,,Divorced,2703,1,Y,Yes,14,Alta,Muy_Alta,80,1,3,2,Media,3,,0,2
211,156,51,No,Travel_Rarely,Financial,7,,Finanzas,1,Media,,,2,Accountant,,Married,6132,2,Y,No,17,Alta,Alta,80,0,10,2,,1,,0,0
1572,1111,53,Yes,Travel_Rarely,Financial,2,Universitaria,Contaduría,1,Alta,2.0,Media,3,Accountant,Media,Married,10169,0,Y,No,16,Alta,Media,80,1,34,4,,33,,1,9
328,236,33,Yes,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,1,Treasurer,Alta,Married,2707,7,Y,No,20,Muy_Alta,Baja,80,0,13,3,,9,,1,7
2064,1467,27,No,Travel_Rarely,Financial,4,Master,Ingeniería Administrativa,1,Media,4.0,Muy_Alta,2,Accountant,Muy_Alta,Married,6142,1,Y,Yes,20,Muy_Alta,Media,80,1,6,0,,6,,0,3
1580,1117,34,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Media,3.0,Alta,2,Financial Analyst,Alta,Married,5484,9,Y,No,17,Alta,Media,80,1,9,3,,2,3.0,2,1
101,77,45,No,Travel_Rarely,Financial,6,Universitaria,Other,1,Muy_Alta,,Alta,3,Financial Director,Alta,Married,13245,4,Y,Yes,14,Alta,Media,80,0,17,3,Alta,0,,0,0
1310,940,39,Yes,Travel_Rarely,Financial,23,Universitaria,Finanzas,1,Alta,,Alta,1,Financial Analyst,Alta,Single,3904,0,Y,No,13,Alta,Baja,80,0,6,2,Alta,5,,0,3
1111,800,28,Yes,Travel_Frequently,Financial,1,Universitaria,Finanzas,1,Baja,2.0,Media,1,Treasurer,Media,Divorced,2596,1,Y,No,15,Alta,Baja,80,2,1,2,,1,,0,0
65,51,28,Yes,Travel_Rarely,Financial,5,Universitaria,Contaduría,1,Alta,,Alta,1,Treasurer,Alta,Single,3441,1,Y,Yes,13,Alta,Alta,80,0,2,3,,2,3.0,2,2
1360,966,58,Yes,Travel_Rarely,Financial,7,Universitaria,Finanzas,1,Alta,2.0,Media,3,Accountant,Media,Married,10008,7,Y,Yes,14,Alta,Muy_Alta,80,0,31,0,Media,10,,5,9
1374,977,34,No,Non-Travel,Financial,26,Universitaria,Contaduría,1,Baja,2.0,Media,1,Financial Analyst,Media,Divorced,2029,1,Y,No,20,Muy_Alta,Alta,80,3,5,2,Media,5,,0,0
306,222,37,No,Travel_Frequently,Financial,11,Universitaria,Other,1,Media,3.0,Alta,3,Financial Director,Alta,Divorced,12185,1,Y,Yes,14,Alta,Alta,80,3,10,1,,10,,0,7
2031,1443,42,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,5,CFO,Alta,Married,18880,5,Y,No,11,Alta,Baja,80,0,24,2,,22,,4,14
945,678,48,No,Travel_Rarely,Financial,20,Universitaria,Finanzas,1,Muy_Alta,3.0,Alta,1,Financial Analyst,Alta,Married,2259,4,Y,No,17,Alta,Baja,80,2,13,2,,0,,0,0
797,574,34,No,Travel_Rarely,Financial,1,Master,Ingeniería Administrativa,1,Media,4.0,Muy_Alta,1,Financial Analyst,Muy_Alta,Single,3280,2,Y,No,16,Alta,Alta,80,0,10,2,Muy_Alta,4,,1,3
465,345,23,No,Travel_Rarely,Financial,26,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,1,Financial Analyst,Alta,Divorced,2904,1,Y,No,12,Alta,Alta,80,2,4,2,Alta,4,,0,2
1015,730,30,No,Travel_Rarely,Financial,8,Master,Ingeniería Administrativa,1,Media,4.0,Muy_Alta,3,Financial Director,Muy_Alta,Married,11416,0,Y,Yes,12,Alta,Alta,80,3,9,4,,8,4.0,1,7
581,434,31,No,Travel_Rarely,Financial,9,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,3,Accountant,Alta,Divorced,10648,1,Y,No,25,Muy_Alta,Muy_Alta,80,1,13,6,,13,3.0,0,8
815,588,50,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Alta,,Alta,4,Financial Director,Alta,Married,17639,5,Y,No,16,Alta,Muy_Alta,80,0,30,3,,4,,0,3
