edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,empleados,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,mayor_edad,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,horas_quincena,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual
35,No,Non-Travel,Financial,3,Universitaria,Ingeniería Administrativa,1,Alta,Media,1,Treasurer,Media,Married,1281,1,Y,No,18,Alta,Alta,80,2,1,3,1,0,0
38,No,Travel_Rarely,Financial,1,Master,Ingeniería Administrativa,1,Media,Muy_Alta,2,Coordinator,Muy_Alta,Single,7625,0,Y,No,13,Alta,Alta,80,0,10,4,9,1,8
24,No,Travel_Frequently,Financial,2,Universitaria,Contaduría,1,Baja,Alta,1,Financial Analyst,Alta,Single,3760,1,Y,Yes,13,Alta,Alta,80,0,6,2,6,1,3
28,No,Travel_Rarely,Financial,17,Universitaria,Finanzas,1,Alta,Alta,2,Treasurer,Alta,Divorced,4558,1,Y,No,12,Alta,Muy_Alta,80,1,10,2,10,1,8
25,No,Travel_Rarely,Financial,1,Universitaria,Contaduría,1,Baja,Alta,1,Treasurer,Alta,Married,3229,4,Y,No,11,Alta,Media,80,1,7,2,3,0,2
39,No,Travel_Rarely,Financial,1,Master,Finanzas,1,Alta,Muy_Alta,3,Coordinator,Muy_Alta,Divorced,9613,0,Y,No,17,Alta,Baja,80,3,19,5,18,3,7
45,No,Travel_Rarely,Financial,1,Universitaria,Finanzas,1,Muy_Alta,Alta,1,Treasurer,Alta,Divorced,2270,3,Y,No,14,Alta,Muy_Alta,80,2,8,2,5,0,2
56,Yes,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,1,Media,Alta,1,Financial Analyst,Alta,Married,4963,9,Y,Yes,18,Alta,Baja,80,3,7,2,5,4,3
42,No,Travel_Frequently,Financial,28,Universitaria,Contaduría,1,Muy_Alta,Alta,2,Coordinator,Desconocido,Married,4523,0,Y,No,11,Alta,Muy_Alta,80,3,7,4,6,0,4
39,No,Travel_Rarely,Financial,24,Universitaria,Ingeniería Administrativa,1,Baja,Alta,2,Financial Analyst,Alta,Single,4108,7,Y,No,13,Alta,Baja,80,0,18,2,7,1,7
30,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Alta,Media,2,Coordinator,Media,Married,4152,1,Y,No,19,Alta,Baja,80,3,11,3,11,10,8
58,No,Non-Travel,Financial,1,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Baja,2,Coordinator,Baja,Divorced,5660,2,Y,Yes,13,Alta,Muy_Alta,80,1,12,2,5,1,2
22,Yes,Travel_Frequently,Financial,4,Universitaria,Contaduría,1,Alta,Media,1,Treasurer,Media,Single,3894,5,Y,No,16,Alta,Alta,80,0,4,3,2,1,2
32,Yes,Travel_Rarely,Financial,25,Universitaria,Ingeniería Administrativa,1,Baja,Alta,1,Treasurer,Alta,Single,2795,1,Y,Yes,24,Muy_Alta,Alta,80,0,1,2,1,0,1
34,No,Travel_Rarely,Financial,3,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,2,Financial Analyst,Alta,Divorced,5433,1,Y,No,12,Alta,Alta,80,1,11,2,11,7,9
30,No,Travel_Rarely,Financial,16,Master,Ingeniería Administrativa,1,Alta,Muy_Alta,2,Coordinator,Muy_Alta,Married,5294,3,Y,No,16,Alta,Alta,80,1,10,3,7,1,7
45,No,Travel_Rarely,Financial,20,Universitaria,Finanzas,1,Media,Baja,3,Coordinator,Baja,Divorced,10851,2,Y,Yes,18,Alta,Media,80,1,24,2,7,0,7
32,No,Non-Travel,Financial,1,Universitaria,Contaduría,1,Muy_Alta,Alta,2,Financial Analyst,Alta,Married,4087,4,Y,No,14,Alta,Media,80,1,9,3,6,1,2
31,No,Travel_Frequently,Financial,7,Universitaria,Ingeniería Administrativa,1,Alta,Media,3,Accountant,Media,Married,8943,1,Y,No,24,Muy_Alta,Baja,80,1,10,2,10,8,9
50,No,Travel_Rarely,Financial,10,Universitaria,Contaduría,1,Muy_Alta,Media,3,Coordinator,Media,Single,10496,6,Y,No,15,Alta,Muy_Alta,80,0,20,2,4,1,3
28,No,Travel_Frequently,Financial,6,Universitaria,Ingeniería Administrativa,1,Alta,Media,1,Financial Analyst,Media,Divorced,2703,1,Y,Yes,14,Alta,Muy_Alta,80,1,3,2,3,0,2
51,No,Travel_Rarely,Financial,7,Universitaria,Finanzas,1,Media,Alta,2,Accountant,Desconocido,Married,6132,2,Y,No,17,Alta,Alta,80,0,10,2,1,0,0
53,Yes,Travel_Rarely,Financial,2,Universitaria,Contaduría,1,Alta,Media,3,Accountant,Media,Married,10169,0,Y,No,16,Alta,Media,80,1,34,4,33,1,9
33,Yes,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Baja,Alta,1,Treasurer,Alta,Married,2707,7,Y,No,20,Muy_Alta,Baja,80,0,13,3,9,1,7
